degree_id,name,emoji,description,course_ids_plus_separated,show
DS_HSC1,Core Courses,🏠,"only the required courses, so that you can pick everything from the beginning",HEIN11037a_1_1+HEIN11037b_1_2,1
DS_HSC1,Coding,👾,a majority of your courses would focus on programming,HEIN11037a_1_1+HEIN11037b_1_2+HEIN11083_1_3+HEIN11048_1_4+HEIN11066_1_5+HEIN11062_1_6,1
DS_HSC1,Balanced,😎,courses covering a balanced mix of skills and knowledge,HEIN11037a_1_1+HEIN11037b_1_2+HEIN11039_1_3+HEIN11059_1_4+PUHR11064_1_6+HEIN11040_1_5,1
DS_HSC2,Core Courses,🏠,"only the required courses, so that you can pick everything from the beginning",HEIN11037a_1_1+HEIN11089_2_1+HEIN11037b_1_2,1
DS_HSC2,Coding,👾,a majority of your courses would focus on programming,HEIN11037a_1_1+HEIN11037b_1_2+HEIN11048_1_4+HEIN11066_1_5+HEIN11062_1_6+HEIN11089_2_1+HEIN11039_1_3+HEIN11098_2_2+HEIN11067_2_3+HEIN11085_2_4+HEIN11040_2_5+INAH11017_2_6,1
DS_HSC2,Balanced,😎,courses covering a balanced mix of skills and knowledge,HEIN11037a_1_1+HEIN11037b_1_2+HEIN11039_1_3+HEIN11059_1_4+PUHR11064_1_6+HEIN11040_1_5+HEIN11089_2_1+HEIN11056_2_2+HEIN11083_2_3+HEIN11048_2_4+HEIN11068_2_5+PUHR11079_2_6,1
DS_HSC3,Coding,👾,a majority of your courses would focus on programming,HEIN11037a_1_1+HEIN11037b_1_2+HEIN11048_1_4+HEIN11066_1_5+HEIN11062_1_6+HEIN11089_2_1+HEIN11039_1_3+HEIN11098_2_2+HEIN11067_2_3+HEIN11085_2_4+HEIN11040_2_5+HEIN11090_2_6+DISSERTATION_3_1,1
DS_HSC3,Balanced,😎,courses covering a balanced mix of skills and knowledge,HEIN11037a_1_1+HEIN11037b_1_2+HEIN11039_1_3+HEIN11059_1_4+PUHR11064_1_6+HEIN11040_1_5+HEIN11089_2_1+HEIN11056_2_2+HEIN11083_2_3+HEIN11048_2_4+HEIN11068_2_5+HEIN11090_2_6+DISSERTATION_3_1,1
DS_HSC3,Core Courses,🏠,"only the required courses, so that you can pick everything from the beginning",HEIN11037a_1_1+HEIN11089_2_1+HEIN11037b_1_2+HEIN11090_2_6+DISSERTATION_3_1,1
DS_HSC3,SLICC,🛠️,Only required courses for SLICC (student led individually created course),HEIN11037a_1_1+HEIN11089_2_1+HEIN11037b_1_2+SLICCa_3_1+SLICCb_3_6+HEIN11090_2_6,1
DS_HSC1,No Pre-Selection,❌,no courses pre-selected,1
DS_HSC2,No Pre-Selection,❌,no courses pre-selected,1
DS_HSC3,No Pre-Selection,❌,no courses pre-selected,1
DS_PPD,No Pre-Selection,❌,no courses pre-selected,1
